FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.487,487,POINT (16.32543470034342 48.24010463354998),Felix-Dahn-Straße,Felix-Dahn-Str.,40A,
OEFFHALTESTOGD.488,488,POINT (16.328153992938464 48.23466791846753),Türkenschanzplatz,Türkenschanzpl.,10A,
OEFFHALTESTOGD.489,489,POINT (16.327242703254313 48.23495844371063),Türkenschanzplatz,Türkenschanzpl.,41,
OEFFHALTESTOGD.490,490,POINT (16.32592343414453 48.23857921131935),Peter-Jordan-Straße,Peter-Jordan-Str.,40A,
OEFFHALTESTOGD.491,491,POINT (16.325472830948797 48.2159708526462),Mayssengasse,Maysseng.,"44, 9",
OEFFHALTESTOGD.492,492,POINT (16.32830844079964 48.24912360253325),Bellevuestraße,Bellevuestr.,39A,
OEFFHALTESTOGD.493,493,POINT (16.328420840867047 48.18691199313064),Grimmgasse,Grimmg.,57A,
OEFFHALTESTOGD.494,494,POINT (16.32805652370974 48.19682168128738),Schweglerstraße,Schweglerstr.,12A,
OEFFHALTESTOGD.495,495,POINT (16.335853580503507 48.15948220071661),Gutheil-Schoder-Gasse WLB,Gutheil-Schoder-G. WLB,65A,
OEFFHALTESTOGD.496,496,POINT (16.325628757677208 48.21347778106785),Johann-Nepomuk-Berger-Platz,Johann-Nepomuk-Berger-Pl.,44,
OEFFHALTESTOGD.497,497,POINT (16.32837301659173 48.15240055631916),Schwarzenhaidestraße,Schwarzenhaidestr.,"65A, 66A",
OEFFHALTESTOGD.498,498,POINT (16.32592090121113 48.17415232416689),Hohenbergstraße,Hohenbergstr.,"15A, 8A",
OEFFHALTESTOGD.499,499,POINT (16.328697347177187 48.15711391261497),Zanaschkagasse,Zanaschkag.,16A,
OEFFHALTESTOGD.500,500,POINT (16.333424667483985 48.23887050586158),Hugo-Wolf-Park,Hugo-Wolf-Park,40A,
OEFFHALTESTOGD.501,501,POINT (16.333340833110757 48.151520002266295),Willendorfer Gasse,Willendorfer G.,"65A, 66A",
OEFFHALTESTOGD.502,502,POINT (16.333677693016032 48.150195182968936),Purkytgasse,Purkytg.,65A,
OEFFHALTESTOGD.503,503,POINT (16.330870769700432 48.173187848083295),Schedifkaplatz,Schedifkapl.,WLB,
OEFFHALTESTOGD.504,504,POINT (16.333249141632873 48.188078246578584),Stiegergasse,Stiegerg.,"12A, 57A",
OEFFHALTESTOGD.505,505,POINT (16.33116809797897 48.211709863115146),Neulerchenfelder Straße/Haberlgasse,Neulerchenfelder Str./Haberlg.,2,
OEFFHALTESTOGD.506,506,POINT (16.33302052723672 48.1573560865437),Neusteinhof,Neusteinhof,16A,
OEFFHALTESTOGD.507,507,POINT (16.333042201450116 48.15737210689373),Neusteinhof,Neusteinhof,65A,
OEFFHALTESTOGD.508,508,POINT (16.331180012893352 48.18077621317092),Niederhofstraße,Niederhofstr.,U6,
OEFFHALTESTOGD.509,509,POINT (16.330925265193763 48.21855874319371),Elterleinplatz,Elterleinpl.,9,
OEFFHALTESTOGD.510,510,POINT (16.330720195025577 48.19156641173933),Mariahilfer Str/Arnsteingasse,Mariahilfer Str./Arnsteing.,12A,
OEFFHALTESTOGD.511,511,POINT (16.331140463784237 48.14635102102253),Kinskygasse/Rossakgasse,Kinskyg./Rossakg.,65A,
OEFFHALTESTOGD.512,512,POINT (16.333142634512328 48.260943072442224),Feuerwache Grinzing,Feuerwache Grinzing,38A,
OEFFHALTESTOGD.513,513,POINT (16.333017478090497 48.17146037368472),Am Europlatz,Am Europlatz,"15A, 7A",
OEFFHALTESTOGD.514,514,POINT (16.333800003582926 48.17488542526372),Dörfelstraße,Dörfelstr.,"62A, 7A, 8A",
OEFFHALTESTOGD.515,515,POINT (16.331188034353463 48.18131974382813),Niederhofstraße,Niederhofstr.,10A,
OEFFHALTESTOGD.516,516,POINT (16.330425867461567 48.13866113432434),Inzersdorf Zetschegasse,Inzersdorf Zetscheg.,65A,
OEFFHALTESTOGD.517,517,POINT (16.32524330833324 48.197828411221806),Huglgasse,Huglg.,12A,
OEFFHALTESTOGD.518,518,POINT (16.221212831856242 48.21491229556477),Schloß Laudon,Schloß Laudon,"249, 250, 449",
OEFFHALTESTOGD.519,519,POINT (16.193438652898298 48.233418691500056),Steinbachstraße,Steinbachstr.,449,
OEFFHALTESTOGD.520,520,POINT (16.21657410195285 48.218776893587275),Forstgarten,Forstgarten,"249, 250, 449",
OEFFHALTESTOGD.521,521,POINT (16.19346955533897 48.233395965399424),Steinbachstraße,Steinbachstr.,249,
OEFFHALTESTOGD.522,522,POINT (16.211639980850116 48.21046277191443),Weidlingau,Weidlingau,"100, S50",
OEFFHALTESTOGD.523,523,POINT (16.221860976825486 48.21045933317595),Hadersdorf,Hadersdorf,"100, S50",
OEFFHALTESTOGD.524,524,POINT (16.193536351975148 48.2333614811558),Steinbachstraße,Steinbachstr.,250,
OEFFHALTESTOGD.525,525,POINT (16.217248583468752 48.210112632492795),"Hadersdorf, Hauptstraße","Hadersdorf, Hauptstr.","350, 351, 447, 547",
OEFFHALTESTOGD.526,526,POINT (16.203301166844305 48.205073524505615),Mooswiesengasse,Mooswieseng.,"350, 351, 447, 547",
OEFFHALTESTOGD.527,527,POINT (16.220563736574498 48.13717604214168),Breitenfurt Villa Madeleine,Breitenfurt Villa Madeleine,"253, 354",
OEFFHALTESTOGD.528,528,POINT (16.219910613305142 48.209769115355506),"Hadersdorf, Hauptstraße","Hadersdorf, Hauptstr.","150, 50B",
OEFFHALTESTOGD.529,529,POINT (16.215141158429113 48.209534867933996),Herzmanskystraße,Herzmanskystr.,"150, 350, 351, 447, 547",
OEFFHALTESTOGD.530,530,POINT (16.219044715341933 48.206191744466516),Zimbagasse,Zimbagasse,"150, 49B, 50B",
OEFFHALTESTOGD.531,531,POINT (16.214501014442636 48.209519578499275),Herzmanskystraße,Herzmanskystr.,50B,
OEFFHALTESTOGD.532,532,POINT (16.19894912939751 48.23114028532437),Sofienalpenstraße,Sofienalpenstr.,"249, 250, 449",
OEFFHALTESTOGD.533,533,POINT (16.22131806224183 48.12481038857348),Waldmühle,Waldmühle,255,
OEFFHALTESTOGD.534,534,POINT (16.21595489583667 48.206946516879924),Wolfgang-Pauli-Gasse,Wolfgang-Pauli-G.,"150, 49B, 50B",
OEFFHALTESTOGD.535,535,POINT (16.207920324752084 48.207071330281366),Hauptstraße 150,Hauptstr. 150,"350, 351, 447, 547",
OEFFHALTESTOGD.536,536,POINT (16.20570267249776 48.22757672410512),Greutberggasse,Greutbergg.,"249, 250, 449",
OEFFHALTESTOGD.537,537,POINT (16.201851746525723 48.22949346170198),Hohe-Wand-Wiese,Hohe-Wand-Wiese,"249, 250, 449",
OEFFHALTESTOGD.538,538,POINT (16.218598823672963 48.20749277816826),Aufhof,Aufhof,"150, 49B, 50B",
OEFFHALTESTOGD.539,539,POINT (16.22183535994735 48.20721528368875),"Wientalstraße, BauMax","Wientalstr., BauMax",150,
OEFFHALTESTOGD.540,540,POINT (16.3189140323766 48.213503107669624),Ottakringer Straße/Wattgasse,Ottakringer Str./Wattg.,2,
OEFFHALTESTOGD.541,541,POINT (16.319246609720576 48.12561294797413),Vösendorf-Siebenhirten,Vösendorf-Siebenh.,WLB,
OEFFHALTESTOGD.542,542,POINT (16.31906981570866 48.125666319873034),Vösendorf-Siebenhirten,Vösendorf-Siebenh.,"207, 265, 266, 270",
OEFFHALTESTOGD.543,543,POINT (16.319945616581613 48.27732660151367),Sulzwiese,Sulzwiese,38A,
OEFFHALTESTOGD.544,544,POINT (16.32433466470332 48.268752759225656),Krapfenwaldgasse,Krapfenwaldg.,38A,
OEFFHALTESTOGD.545,545,POINT (16.321451971566855 48.2639815726596),Cobenzl Parkplatz,Cobenzl Parkpl.,"38A, 43A",
OEFFHALTESTOGD.546,546,POINT (16.323163629730868 48.19013588131401),Anschützgasse,Anschützg.,57A,
OEFFHALTESTOGD.547,547,POINT (16.323059394258863 48.190353675188874),Anschützgasse,Anschützg.,58,
OEFFHALTESTOGD.548,548,POINT (16.323056104808515 48.1903786868363),Anschützgasse,Anschützg.,52,
OEFFHALTESTOGD.549,549,POINT (16.31846818591705 48.129112929220554),Sevcikgasse,Sevcikg.,255,
OEFFHALTESTOGD.550,550,POINT (16.324321162919624 48.208053901360046),Koppstraße/Panikengasse,Koppstr./Panikeng.,"48A, 9",
OEFFHALTESTOGD.551,551,POINT (16.321205658431094 48.20853186598405),Brüßlgasse,Brüßlg.,48A,
OEFFHALTESTOGD.552,552,POINT (16.32079976224136 48.25194697746329),Fröschelgasse,Fröschelg.,39A,
OEFFHALTESTOGD.553,553,POINT (16.32383793158265 48.25055621409304),Karthäuserstraße,Karthäuserstr.,"243, 39A",
OEFFHALTESTOGD.554,554,POINT (16.31869001395254 48.208920188011206),Possingergasse/Koppstraße,Possingerg./Koppstr.,48A,
OEFFHALTESTOGD.555,555,POINT (16.32168249934794 48.13048542529564),Karl-Tornay-Gasse,Karl-Tornay-G.,265,
OEFFHALTESTOGD.556,556,POINT (16.318540136419696 48.13124267621806),Wienerflurgasse,Wienerflurg.,255,
OEFFHALTESTOGD.557,557,POINT (16.32141002485928 48.24329058039768),Glanzing,Glanzing,35A,
OEFFHALTESTOGD.558,558,POINT (16.321712856080165 48.187094865558684),Weiglgasse,Weiglg.,57A,
OEFFHALTESTOGD.559,559,POINT (16.3184223971252 48.19621355726581),Märzstraße/Johnstraße,Märzstr./Johnstr.,10A,
OEFFHALTESTOGD.560,560,POINT (16.319024331215225 48.16310887816335),Rothenburgstraße,Rothenburgstr.,16A,
OEFFHALTESTOGD.561,561,POINT (16.319181804284273 48.16782307023861),Sonnergasse,Sonnerg.,"62, 62A",
OEFFHALTESTOGD.562,562,POINT (16.322119865371008 48.16253316450818),Khleslplatz,Khleslpl.,16A,
OEFFHALTESTOGD.563,563,POINT (16.3245894855146 48.186308842763125),Hollergasse,Hollerg.,57A,
OEFFHALTESTOGD.564,564,POINT (16.322691565263828 48.23736311439879),Erndtgasse,Erndtg.,41,
OEFFHALTESTOGD.565,565,POINT (16.320362812069252 48.20608166269345),Brüßlgasse,Brüßlg.,48A,
OEFFHALTESTOGD.566,566,POINT (16.320302780645157 48.18608237688336),Schönbrunn,Schönbrunn,10A,
OEFFHALTESTOGD.567,567,POINT (16.32518896986245 48.13603245381257),Schönbrunner Allee WLB,Schönbr. Allee WLB,WLB,
OEFFHALTESTOGD.568,568,POINT (16.319144381293697 48.185993684631526),Schönbrunn,Schönbrunn,U4,
OEFFHALTESTOGD.569,569,POINT (16.318562731846008 48.21046222398837),Hasnerstraße,Hasnerstr.,10A,
OEFFHALTESTOGD.570,570,POINT (16.32027370758064 48.18477385415),Schönbrunn,Schönbrunn,10A,
OEFFHALTESTOGD.571,571,POINT (16.323632670066633 48.18385021124557),Rotenmühlgasse,Rotenmühlg.,10A,
OEFFHALTESTOGD.572,572,POINT (16.325202017346108 48.21060637623333),Thaliastraße/Feßtgasse,Thaliastr./Feßtg.,"46, 9",
OEFFHALTESTOGD.573,573,POINT (16.31851773381249 48.23240449927444),Scheibenbergstraße,Scheibenbergstr.,40,
OEFFHALTESTOGD.574,574,POINT (16.324829480873703 48.161519188586),Am Schöpfwerk,Am Schöpfwerk,16A,
OEFFHALTESTOGD.575,575,POINT (16.323901595215073 48.18377576520187),Rotenmühlgasse,Rotenmühlg.,63A,
OEFFHALTESTOGD.576,576,POINT (16.321992940114406 48.18338967882437),Bischoffgasse,Bischoffg.,10A,
OEFFHALTESTOGD.577,577,POINT (16.318941861054732 48.211567322674384),Schuhmeierplatz,Schuhmeierpl.,"10A, 46",
OEFFHALTESTOGD.578,578,POINT (16.319824409576484 48.1610753861965),Sagedergasse,Sagederg.,16A,
OEFFHALTESTOGD.579,579,POINT (16.32432447712858 48.16084379719876),Am Schöpfwerk,Am Schöpfwerk,U6,
OEFFHALTESTOGD.580,580,POINT (16.324391375532866 48.23168185985346),Alsegger Straße,Alsegger Str.,40,
OEFFHALTESTOGD.581,581,POINT (16.324709873198916 48.13777823777036),Erlaaer Spitz,Erlaaer Spitz,64A,
OEFFHALTESTOGD.582,582,POINT (16.323392607273323 48.188794226509685),Siebeneichengasse,Siebeneicheng.,57A,
OEFFHALTESTOGD.583,583,POINT (16.321323323054877 48.137923150192904),Zouvalgasse,Zouvalg.,64A,
OEFFHALTESTOGD.584,584,POINT (16.324572104098074 48.18166944400554),Rosasgasse,Rosasg.,63A,
OEFFHALTESTOGD.585,585,POINT (16.320079941496246 48.197642320721144),Johnstraße,Johnstr.,U3,
OEFFHALTESTOGD.586,586,POINT (16.32522883564251 48.197853703327254),Huglgasse,Huglg.,49,
OEFFHALTESTOGD.587,587,POINT (16.319448516323156 48.22958246444047),Krenngasse,Krenng.,42A,
OEFFHALTESTOGD.588,588,POINT (16.320969572517246 48.18058365088407),Schwenkgasse/Tivoligasse,Schwenkg./Tivolig.,9A,
OEFFHALTESTOGD.589,589,POINT (16.323477789927814 48.22901415936864),Orthopädisches Krankenhaus,Orthopädisches KH,42A,
OEFFHALTESTOGD.590,590,POINT (16.324341652593073 48.1803288623663),Aichholzgasse,Aichholzg.,9A,
OEFFHALTESTOGD.591,591,POINT (16.32372834908249 48.14121752188247),Meischlgasse,Meischlg.,64A,
OEFFHALTESTOGD.592,592,POINT (16.3210547728724 48.17893677048391),Schwenkgasse,Schwenkg.,9A,
OEFFHALTESTOGD.593,593,POINT (16.32403235571011 48.17866844864933),Pohlgasse,Pohlg.,"63A, 9A",
OEFFHALTESTOGD.594,594,POINT (16.320633793906552 48.17791316831179),Schwenkgasse,Schwenkg.,9A,
OEFFHALTESTOGD.595,595,POINT (16.323480762911206 48.17761168035846),Aichholzgasse/Ratschkygasse,Aichholzg./Ratschkyg.,9A,
OEFFHALTESTOGD.596,596,POINT (16.319185989610236 48.22451251491336),Hernalser Friedhof,Hernalser Friedh.,42A,
OEFFHALTESTOGD.597,597,POINT (16.322775276053637 48.14429425564296),Goldhammergasse,Goldhammerg.,64A,
OEFFHALTESTOGD.598,598,POINT (16.3213980911316 48.221549561307505),Hernalser Hauptstraße/Wattgasse,Hernalser Hauptstr./Wattg.,"10A, 42A, 43",
OEFFHALTESTOGD.599,599,POINT (16.320495220323846 48.21926797941442),Albrechtskreithgasse,Albrechtskreithg.,10A,
OEFFHALTESTOGD.600,600,POINT (16.319329058584735 48.175770620058955),Gatterhölzl,Gatterhölzl,"63A, 8A",
OEFFHALTESTOGD.601,601,POINT (16.31906608360291 48.15703588086263),Linienamt,Linienamt,64A,
OEFFHALTESTOGD.602,602,POINT (16.318902044810415 48.1985403496625),Johnstraße,Johnstr.,10A,
OEFFHALTESTOGD.603,603,POINT (16.321665450448535 48.148132863083575),Rossakgasse,Rossakg.,64A,
OEFFHALTESTOGD.604,604,POINT (16.322476859483093 48.17500801377175),Theergasse,Theerg.,"63A, 8A",
OEFFHALTESTOGD.605,605,POINT (16.319496197298704 48.2162073390989),Wilhelminenstraße/Wattgasse,Wilhelminenstr./Wattg.,"10A, 44",
OEFFHALTESTOGD.606,606,POINT (16.31899752413896 48.2141129722827),Ottakringer Straße/Wattgasse,Ottakringer Str./Wattg.,10A,
OEFFHALTESTOGD.607,607,POINT (16.27237989607417 48.166759485048544),Dr-Schober-Straße,Dr-Schober-Str.,60B,
OEFFHALTESTOGD.608,608,POINT (16.271011807182262 48.15459922053222),Franz-Asenbauer-Gasse,Franz-Asenbauer-G.,156B,
OEFFHALTESTOGD.609,609,POINT (16.27517471365625 48.154482904458725),Maurer Friedhof,Maurer Friedh.,"156B, 56B",
OEFFHALTESTOGD.610,610,POINT (16.260850152010146 48.20182903136098),Rosentalgasse,Rosentalg.,47B,
OEFFHALTESTOGD.611,611,POINT (16.22375962373007 48.2138991420236),Anzengruberstraße,Anzengruberstr.,249,
OEFFHALTESTOGD.612,612,POINT (16.26402488736076 48.15340652853006),Heudörfelgasse,Heudörfelg.,56B,
OEFFHALTESTOGD.613,613,POINT (16.271355372962727 48.15480063986495),Franz-Asenbauer-Gasse,Franz-Asenbauer-G.,60,
OEFFHALTESTOGD.614,614,POINT (16.26405931732652 48.152992576492515),Heudörfelgasse,Heudörfelg.,156B,
OEFFHALTESTOGD.615,615,POINT (16.224476258569542 48.214173852632754),Anzengruberstraße,Anzengruberstr.,49B,
OEFFHALTESTOGD.616,616,POINT (16.24956035429897 48.214502370126894),Campingplatz Wien-West 2,Campingpl. Wien-West 2,"43B, 52A, 52B",
OEFFHALTESTOGD.617,617,POINT (16.258965164995704 48.201818226275286),Satzberggasse,Satzbergg.,49,
OEFFHALTESTOGD.618,618,POINT (16.262278258442738 48.201574774703786),Bahnhofstraße,Bahnhofstr.,49,
OEFFHALTESTOGD.619,619,POINT (16.246261432369224 48.214670990395234),Edenstraße,Edenstr.,52A,
OEFFHALTESTOGD.620,620,POINT (16.227790054996163 48.21476579700296),Ferdinand-Frey-Weg,Ferd.-Frey-Weg,"49A, 49B",
OEFFHALTESTOGD.621,621,POINT (16.264427783857744 48.17434850050121),Reischergasse,Reischerg.,54B,
OEFFHALTESTOGD.622,622,POINT (16.265190515994615 48.15185394045603),Valentingasse,Valenting.,56B,
OEFFHALTESTOGD.623,623,POINT (16.256768254051526 48.20143002172902),Bergmillergasse,Bergmillerg.,"150, 249, 250, 43B, 49A, 49B, 50B, 52A, 52B",
OEFFHALTESTOGD.624,624,POINT (16.264155364227598 48.20115665579609),Bahnhofstraße,Bahnhofstr.,47B,
OEFFHALTESTOGD.625,625,POINT (16.22640619059062 48.2151452913721),Cottagestraße,Cottagestr.,"49A, 49B",
OEFFHALTESTOGD.626,626,POINT (16.230432627239853 48.21565914677588),Korngoldgasse,Korngoldg.,49A,
OEFFHALTESTOGD.627,627,POINT (16.265812132181264 48.20057340248759),Linzer Straße/Flötzersteig,Linzer Str./Flötzersteig,47B,
OEFFHALTESTOGD.628,628,POINT (16.268184086288013 48.15081814596164),Maurer Hauptplatz,Maurer Hauptpl.,60A,
OEFFHALTESTOGD.629,629,POINT (16.272400213729643 48.154922071484314),Franz-Asenbauer-Gasse,Franz-Asenbauer-G.,56B,
OEFFHALTESTOGD.630,630,POINT (16.2688638159942 48.1505459360384),Maurer Hauptplatz,Maurer Hauptpl.,"156B, 56B, 60",
OEFFHALTESTOGD.631,631,POINT (16.254863805722 48.216538425103245),Günselgasse,Günselg.,52B,
OEFFHALTESTOGD.632,632,POINT (16.269770217492713 48.15050627452917),Speisinger Straße,Speisinger Str.,60A,
OEFFHALTESTOGD.633,633,POINT (16.228064351260937 48.216544462517554),Schöffelplatz,Schöffelpl.,49A,
OEFFHALTESTOGD.634,634,POINT (16.268731903638997 48.19913033161887),Deutschordenstraße,Deutschordenstr.,47B,
OEFFHALTESTOGD.635,635,POINT (16.24897385969183 48.21684774911114),Ulmenstraße,Ulmenstr.,"43B, 52A, 52B",
OEFFHALTESTOGD.636,636,POINT (16.271692135593764 48.19904378287811),Baumgarten,Baumgarten,49,
OEFFHALTESTOGD.637,637,POINT (16.24973291489632 48.21726987862436),Kerbelgasse,Kerbelg.,52B,
OEFFHALTESTOGD.638,638,POINT (16.24417197506226 48.21774501563144),Haspelmeistergasse,Haspelmeisterg.,52A,
OEFFHALTESTOGD.639,639,POINT (16.26456492451027 48.156017734918024),Ursulinenkloster,Ursulinenkloster,156B,
OEFFHALTESTOGD.640,640,POINT (16.2616711731949 48.21797098838194),Siedlung Kordon,Sdlg. Kordon,52B,
OEFFHALTESTOGD.641,641,POINT (16.268205864732685 48.175055080838476),Joseph-Lister-Gasse,Joseph-Lister-G.,54B,
OEFFHALTESTOGD.642,642,POINT (16.25918114370933 48.1491776559807),Kaserngasse,Kaserng.,60A,
OEFFHALTESTOGD.643,643,POINT (16.271583750312498 48.19899735115524),Baumgarten,Baumgarten,52,
OEFFHALTESTOGD.644,644,POINT (16.25736285644637 48.218279787805805),Hänflingweg,Hänflingweg,52B,
OEFFHALTESTOGD.645,645,POINT (16.264675209789505 48.15616225846033),Ursulinenkloster,Ursulinenkloster,56B,
OEFFHALTESTOGD.646,646,POINT (16.25450544823661 48.218408196167005),Elsbeergasse,Elsbeerg.,52B,
OEFFHALTESTOGD.647,647,POINT (16.23453338483963 48.20198106361777),Auhof Umspannwerk,Auhof Umspannwerk,50B,
OEFFHALTESTOGD.648,648,POINT (16.24875413463148 48.218652406456194),Siedlung Edenbad,Sdlg. Edenbad,52A,
OEFFHALTESTOGD.649,649,POINT (16.260714385149562 48.218709212322665),Ammerweg,Ammerweg,52B,
OEFFHALTESTOGD.650,650,POINT (16.274233802547645 48.17539179793202),Lainz Wolkersbergenstraße,Lainz Wolkersbergenstr.,62,
OEFFHALTESTOGD.651,651,POINT (16.227023412686304 48.21323903617417),Hüttergasse,Hütterg.,"249, 49A, 49B",
OEFFHALTESTOGD.652,652,POINT (16.268231018327405 48.147302350074995),Maurer-Lange-Gasse,Maurer-Lange-G.,60,
OEFFHALTESTOGD.653,653,POINT (16.25722150431767 48.202286376917975),Bergmillergasse,Bergmillerg.,52A,
OEFFHALTESTOGD.654,654,POINT (16.240655199645314 48.219667819085316),Moschingergasse,Moschingerg.,52A,
OEFFHALTESTOGD.655,655,POINT (16.253403332221964 48.22023078051806),Dostgasse,Dostg.,52B,
OEFFHALTESTOGD.656,656,POINT (16.238953713817065 48.220764688465046),Knödelhüttenstraße,Knödelhüttenstr.,52A,
OEFFHALTESTOGD.657,657,POINT (16.26537211486468 48.22110970526266),Jubiläumswarte,Jubiläumswarte,52B,
OEFFHALTESTOGD.658,658,POINT (16.268222076930723 48.17621634667413),Lafitegasse,Lafiteg.,54B,
OEFFHALTESTOGD.659,659,POINT (16.262205109303608 48.19791813525723),Hütteldorf,Hütteldorf,47B,
OEFFHALTESTOGD.660,660,POINT (16.27591010286897 48.17298108612207),Versorgungsheimplatz,Versorgungsheimpl.,62,
OEFFHALTESTOGD.661,661,POINT (16.254053670435866 48.17667025676616),Sankt Veiter Tor,St. Veiter Tor,55B,
OEFFHALTESTOGD.662,662,POINT (16.247331900920674 48.221808492990434),Eichbachgasse,Eichbachg.,52A,
OEFFHALTESTOGD.663,663,POINT (16.259005506469627 48.14480987705348),Lindauergasse,Lindauerg.,60A,
OEFFHALTESTOGD.664,664,POINT (16.24160736742648 48.22226876525584),Nikolaus-Pytty-Straße,Nikolaus-Pytty-Str.,52A,
OEFFHALTESTOGD.665,665,POINT (16.2622971381724 48.14450963832185),Maurer Berg,Maurer Berg,60A,
OEFFHALTESTOGD.666,666,POINT (16.25717642979799 48.202290280509224),Bergmillergasse,Bergmillerg.,"43B, 52B",
OEFFHALTESTOGD.667,667,POINT (16.261674283959138 48.197863833263746),Hütteldorf,Hütteldorf,"150, 249, 250, 350, 351, 43B, 447, 449, 49A, 49B, 50B, 52A, 52B, 547",
OEFFHALTESTOGD.668,668,POINT (16.275889556133897 48.17737344546237),Ratmannsdorfgasse,Ratmannsdorfg.,"54B, 55B",
OEFFHALTESTOGD.669,669,POINT (16.246276594406115 48.22399920314537),Jägerwaldsiedlung,Jägerwaldsdlg.,52A,
OEFFHALTESTOGD.670,670,POINT (16.272992265373123 48.17759166359948),Lainz Wolkersbergenstraße,Lainz Wolkersbergenstr.,55B,
OEFFHALTESTOGD.671,671,POINT (16.261429207886174 48.142830698680655),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-G.,60A,
OEFFHALTESTOGD.672,672,POINT (16.270384710547777 48.14280750428387),Anton-Krieger-Gasse,Anton-Krieger-G.,60,
OEFFHALTESTOGD.673,673,POINT (16.24332505210803 48.22434141046214),Haidersberggasse,Haidersbergg.,52A,
OEFFHALTESTOGD.674,674,POINT (16.25582446530937 48.20233346755539),Hütteldorf Bujattigasse,Hütteldorf Bujattig.,49,
OEFFHALTESTOGD.675,675,POINT (16.275434663236922 48.20330636328492),Tinterstraße,Tinterstr.,47A,
OEFFHALTESTOGD.676,676,POINT (16.271425999427738 48.177717260474346),Wlassakstraße,Wlassakstr.,54B,
OEFFHALTESTOGD.677,677,POINT (16.24511949796886 48.20338247651498),Samptwandnergasse,Samptwandnerg.,"150, 249, 350, 351, 447, 449, 49A, 49B, 50B, 547",
OEFFHALTESTOGD.678,678,POINT (16.227311920822924 48.20349712138623),Autobahnraststation Auhof,Autobahnraststat. Auhof,50B,
OEFFHALTESTOGD.679,679,POINT (16.2357889924959 48.21250227001136),Glossystraße,Glossystr.,"249, 49A, 49B",
OEFFHALTESTOGD.680,680,POINT (16.268806131141798 48.179202736962694),Gobergasse,Goberg.,"54B, 55B",
OEFFHALTESTOGD.681,681,POINT (16.276235593208835 48.179512337710534),Veitingergasse,Veitingerg.,"54B, 55B",
OEFFHALTESTOGD.682,682,POINT (16.266205926836967 48.15874736817653),Wittgensteinstraße,Wittgensteinstr.,"156B, 56B",
OEFFHALTESTOGD.683,683,POINT (16.248403423447147 48.2036952957002),Utendorfgasse,Utendorfg.,"150, 249, 449, 49A, 49B, 50B",
OEFFHALTESTOGD.684,684,POINT (16.25953507168343 48.180306758018),Ghelengasse,Gheleng.,"54B, 55B",
OEFFHALTESTOGD.685,685,POINT (16.2608909028717 48.18033744363492),Stock im Weg,Stock im Weg,54B,
OEFFHALTESTOGD.686,686,POINT (16.259909552833452 48.203809732486064),Steinböckeng./Freyenthurmgasse,Steinböckeng./Freyenthurmg.,47B,
OEFFHALTESTOGD.687,687,POINT (16.261482388603575 48.18035806410383),Stock im Weg,Stock im Weg,55B,
OEFFHALTESTOGD.688,688,POINT (16.222717759130877 48.212239995035986),Mauerbachstraße,Mauerbachstr.,"250, 449",
OEFFHALTESTOGD.689,689,POINT (16.251932279197877 48.203982345171596),Wolfersberggasse,Wolfersbergg.,"150, 249, 250, 350, 351, 449, 49A, 49B, 50B",
OEFFHALTESTOGD.690,690,POINT (16.252943445447798 48.21169842300879),Campingplatz Wien-West 1,Campingpl. Wien-West 1,"43B, 52A, 52B",
OEFFHALTESTOGD.691,691,POINT (16.271772430640056 48.13910191507091),Hoferstiege,Hoferstiege,"253, 259, 354",
OEFFHALTESTOGD.692,692,POINT (16.267136951662398 48.13904020709636),Breitenfurter Brücke,Breitenf. Brücke,"253, 259, 354",
OEFFHALTESTOGD.693,693,POINT (16.260197819285228 48.138997610341974),Rodauner Straße,Rodauner Str.,60A,
OEFFHALTESTOGD.694,694,POINT (16.264890633309495 48.18119941079294),Gemeindeberggasse,Gemeindebergg.,"54B, 55B",
OEFFHALTESTOGD.695,695,POINT (16.26351472432912 48.138850239798444),An der Liesing,A.d. Liesing,354,
OEFFHALTESTOGD.696,696,POINT (16.267858896199463 48.138760720830106),Breitenfurter Straße,Breitenfurter Str.,60,
OEFFHALTESTOGD.697,697,POINT (16.269759950948963 48.20410671640008),An der Niederhaid,A.d. Niederhaid,47A,
OEFFHALTESTOGD.698,698,POINT (16.244978713605562 48.204330026420145),Hütteldorfer Friedhof,Hütteldorfer Friedh.,"249, 49A, 49B",
OEFFHALTESTOGD.699,699,POINT (16.261096703565453 48.182228973858784),Seifertstraße,Seifertstr.,"54B, 55B",
OEFFHALTESTOGD.700,700,POINT (16.258529665244115 48.23074964690692),Schottenwald,Schottenwald,43B,
OEFFHALTESTOGD.701,701,POINT (16.237510036069136 48.13810156504198),Kalksburg Lodererweg,Kalksburg Lodererweg,"253, 354",
OEFFHALTESTOGD.702,702,POINT (16.257847192005027 48.13807534106158),Breitenfurter Straße/Willergasse,Breitenfurter Str./Willerg.,"253, 354",
OEFFHALTESTOGD.703,703,POINT (16.230903321552972 48.137965864830115),Bohattaweg,Bohattaweg,"253, 354",
OEFFHALTESTOGD.704,704,POINT (16.275031100130253 48.13798318138135),Aquäduktsteg,Aquäduktsteg,"253, 259, 354",
