FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.2033,2033,POINT (16.48975623388712 48.218869913281445),Haberlandtgasse,Haberlandtg.,97A,
OEFFHALTESTOGD.2034,2034,POINT (16.470302768542993 48.218791401022074),Langobardenstraße/Kapellenweg,Langobardenstr./Kapellenweg,25,
OEFFHALTESTOGD.2035,2035,POINT (16.447872617446237 48.2187853170906),Stadlau,Stadlau,"910, S80",
OEFFHALTESTOGD.2036,2036,POINT (16.470277251849275 48.21870262289079),Langobardenstraße/Kapellenweg,Langobardenstr./Kapellenweg,95B,
OEFFHALTESTOGD.2037,2037,POINT (16.45777368858475 48.2183835015213),Kiefernplatz,Kiefernpl.,"92A, 96B",
OEFFHALTESTOGD.2038,2038,POINT (16.51630732557091 48.2134514621649),Kahlergasse,Kahlerg.,99B,
OEFFHALTESTOGD.2039,2039,POINT (16.48071455084195 48.21366192334166),Aspern Sportplatz,Aspern Sportpl.,"92A, 93A",
OEFFHALTESTOGD.2040,2040,POINT (16.48929037377945 48.213689883606015),Hoechlegasse,Hoechleg.,98A,
OEFFHALTESTOGD.2041,2041,POINT (16.445071955807048 48.214270603962724),Mühlwasserstraße,Mühlwasserstr.,"92A, 93A",
OEFFHALTESTOGD.2042,2042,POINT (16.461159417207895 48.21807241431333),Ehrenpreisgasse,Ehrenpreisg.,92A,
OEFFHALTESTOGD.2043,2043,POINT (16.528563507605547 48.21795322107602),Rosenbergstraße,Rosenbergstr.,98A,
OEFFHALTESTOGD.2044,2044,POINT (16.445865639200903 48.21801608276992),Neuhaufenstraße,Neuhaufenstr.,94A,
OEFFHALTESTOGD.2045,2045,POINT (16.526169327812752 48.21417021734052),Eßling Schule,Eßling Schule,26A,
OEFFHALTESTOGD.2046,2046,POINT (16.477176062556744 48.217875984874595),Trondheimgasse,Trondheimg.,25,
OEFFHALTESTOGD.2047,2047,POINT (16.487429302895347 48.28298998401219),Stallarngasse,Stallarng.,"124, 25A",
OEFFHALTESTOGD.2048,2048,POINT (16.526127324839834 48.214182933919126),Eßling Schule,Eßling Schule,"98A, 99B",
OEFFHALTESTOGD.2049,2049,POINT (16.471159189403696 48.21428170875128),Seidelbastgasse,Seidelbastg.,92A,
OEFFHALTESTOGD.2050,2050,POINT (16.48522718823232 48.217615421065275),Aspern Siegesplatz,Aspern Siegespl.,"92A, 97A",
OEFFHALTESTOGD.2051,2051,POINT (16.48575599693627 48.21755009541108),Aspern Siegesplatz,Aspern Siegespl.,26A,
OEFFHALTESTOGD.2052,2052,POINT (16.457477759181256 48.21752496301904),Wohnpark Lobau,Wohnpark Lobau,"92A, 96B",
OEFFHALTESTOGD.2053,2053,POINT (16.45632669500371 48.214425482559406),Strandbad Stadlau,Strandbad Stadlau,96B,
OEFFHALTESTOGD.2054,2054,POINT (16.486509164558438 48.217456932393404),Aspern Siegesplatz,Aspern Siegespl.,391,
OEFFHALTESTOGD.2055,2055,POINT (16.480353277202404 48.21744149345928),Oberdorfstraße,Oberdorfstr.,25,
OEFFHALTESTOGD.2056,2056,POINT (16.492737180618807 48.21729236081648),Lohwaggasse,Lohwagg.,"26A, 97A",
OEFFHALTESTOGD.2057,2057,POINT (16.48739519962184 48.21709014040625),Zachgasse,Zachg.,92A,
OEFFHALTESTOGD.2058,2058,POINT (16.542125567171702 48.21433159326923),Lieglerstraße,Lieglerstr.,"98A, 99B",
OEFFHALTESTOGD.2059,2059,POINT (16.456391943544862 48.21447262869035),Strandbad Stadlau,Strandbad Stadlau,92A,
OEFFHALTESTOGD.2060,2060,POINT (16.48323730419465 48.2170064461385),Asperner Heldenplatz,Asperner Heldenpl.,"92A, 97A",
OEFFHALTESTOGD.2061,2061,POINT (16.48308145418823 48.216664341417356),Benjowskigasse,Benjowskig.,"92A, 93A, 98A",
OEFFHALTESTOGD.2062,2062,POINT (16.49805268609428 48.21654474404641),Saltenstraße,Saltenstr.,26A,
OEFFHALTESTOGD.2063,2063,POINT (16.4648495954804 48.21656647650222),Tamariskengasse,Tamariskeng.,92A,
OEFFHALTESTOGD.2064,2064,POINT (16.531649722744245 48.216262629784666),Eßling Friedhof,Eßling Friedh.,"98A, 99B",
OEFFHALTESTOGD.2065,2065,POINT (16.52522399456411 48.21448513380056),Eßling Schule,Eßling Schule,391,
OEFFHALTESTOGD.2066,2066,POINT (16.528539773821297 48.21589437750928),Simonsgasse,Simonsg.,99B,
OEFFHALTESTOGD.2067,2067,POINT (16.51957198373599 48.21450918526228),Kirschenallee,Kirschenallee,"26A, 99B",
OEFFHALTESTOGD.2068,2068,POINT (16.510508545338162 48.214761609198696),Lannesstraße,Lannesstr.,26A,
OEFFHALTESTOGD.2069,2069,POINT (16.52801898003944 48.21573252649554),Simonsgasse,Simonsg.,98A,
OEFFHALTESTOGD.2070,2070,POINT (16.468367494654355 48.215286572519894),Kapellenweg,Kapellenweg,"92A, 95B",
OEFFHALTESTOGD.2071,2071,POINT (16.504271960700386 48.21568989298391),Flugfeldstraße,Flugfeldstr.,"26A, 391",
OEFFHALTESTOGD.2072,2072,POINT (16.535625640193672 48.21554646001006),Adam-Betz-Gasse,Adam-Betz-G.,"98A, 99B",
OEFFHALTESTOGD.2073,2073,POINT (16.442281371313126 48.179134661322934),7. Haidequerstraße,7. Haidequerstr.,76A,
OEFFHALTESTOGD.2074,2074,POINT (16.41525716175618 48.215833389923546),Sturgasse,Sturg.,82A,
OEFFHALTESTOGD.2075,2075,POINT (16.413601153840137 48.21513782546706),Krieau,Krieau,82A,
OEFFHALTESTOGD.2076,2076,POINT (16.412604184659482 48.215889144390204),Krieau,Krieau,82A,
OEFFHALTESTOGD.2077,2077,POINT (16.413755616386844 48.21468440683911),Krieau,Krieau,U2,
OEFFHALTESTOGD.2078,2078,POINT (16.44091541799154 48.215997510681156),Fischergrund,Fischergrund,93A,
OEFFHALTESTOGD.2079,2079,POINT (16.414867661828776 48.216108512256945),Sturgasse,Sturg.,11A,
OEFFHALTESTOGD.2080,2080,POINT (16.437281655093983 48.29622946257437),Stammersdorf Zentralfriedhof,Stammersdorf ZentralFriedh.,"125, 220",
OEFFHALTESTOGD.2081,2081,POINT (16.432238002580746 48.21714694760834),Dampfschiffhaufen,Dampfschiffhaufen,"92A, 92B",
OEFFHALTESTOGD.2082,2082,POINT (16.41047894357837 48.21753938711311),Kafkastraße,Kafkastr.,82A,
OEFFHALTESTOGD.2083,2083,POINT (16.44092377371224 48.21771885877135),Eisstoßgasse,Eisstoßg.,93A,
OEFFHALTESTOGD.2084,2084,POINT (16.40490187279059 48.21780843843224),Messe Prater,Messe Prater,U2,
OEFFHALTESTOGD.2085,2085,POINT (16.4122773693296 48.21794740094396),Elderschplatz,Elderschpl.,11A,
OEFFHALTESTOGD.2086,2086,POINT (16.401119464319905 48.21824484227109),Molkereistraße,Molkereistr.,82A,
OEFFHALTESTOGD.2087,2087,POINT (16.403584661582805 48.21824876166443),Wohlmutstraße,Wohlmutstr.,82A,
OEFFHALTESTOGD.2088,2088,POINT (16.409437064321327 48.21825557802401),Kafkastraße,Kafkastr.,82A,
OEFFHALTESTOGD.2089,2089,POINT (16.418281249913708 48.21368779388066),Pensionisten-Wohnhaus Prater,Pensionisten-Wohnhaus Prater,11A,
OEFFHALTESTOGD.2090,2090,POINT (16.406597469744156 48.21834531778804),Messe Prater,Messe Prater,82A,
OEFFHALTESTOGD.2091,2091,POINT (16.414249938396765 48.295833169488844),Dattlergasse,Dattlerg.,30A,
OEFFHALTESTOGD.2092,2092,POINT (16.440946668584832 48.21324527808633),Kaisermühlenstraße,Kaisermühlenstr.,"92A, 93A",
OEFFHALTESTOGD.2093,2093,POINT (16.428358594240333 48.21991750314993),Neue Donau Mitte,Neue Donau Mitte,92B,
OEFFHALTESTOGD.2094,2094,POINT (16.413354813351102 48.294258298087016),Kummergasse,Kummerg.,30A,
OEFFHALTESTOGD.2095,2095,POINT (16.428299136508954 48.21996335950464),Neue Donau Mitte,Neue Donau Mitte,92A,
OEFFHALTESTOGD.2096,2096,POINT (16.44088561277962 48.22045114138938),Siedlung Sonnheim,Sdlg. Sonnheim,93A,
OEFFHALTESTOGD.2097,2097,POINT (16.402351303251788 48.22054190270255),Erlafstraße,Erlafstr.,82A,
OEFFHALTESTOGD.2098,2098,POINT (16.400376634427747 48.22099408783728),Max-Winter-Platz,Max-Winter-Pl.,82A,
OEFFHALTESTOGD.2099,2099,POINT (16.40780361673055 48.2211245959115),Hillerstraße,Hillerstr.,"11A, 11B",
OEFFHALTESTOGD.2100,2100,POINT (16.440123590829895 48.21222866816573),Donaustadtbrücke,Donaustadtbr.,"92A, 92B, 93A",
OEFFHALTESTOGD.2101,2101,POINT (16.44006162618186 48.211736907735016),Donaustadtbrücke,Donaustadtbr.,U2,
OEFFHALTESTOGD.2102,2102,POINT (16.405628462466765 48.2211633097143),Jungstraße,Jungstr.,"11A, 11B",
OEFFHALTESTOGD.2103,2103,POINT (16.4408751652889 48.22199460899762),Siedlung Einigkeit,Sdlg. Einigkeit,93A,
OEFFHALTESTOGD.2104,2104,POINT (16.42517690469115 48.22231529366173),Harrachgasse,Harrachg.,"92A, 92B",
OEFFHALTESTOGD.2105,2105,POINT (16.40250155531977 48.223573366672575),Lassallestraße,Lassallestr.,"11A, 11B",
OEFFHALTESTOGD.2106,2106,POINT (16.40107644062788 48.22362926382452),Vorgartenstraße,Vorgartenstr.,U1,
OEFFHALTESTOGD.2107,2107,POINT (16.40129125236494 48.22454616763201),Vorgartenstraße,Vorgartenstr.,"11A, 11B",
OEFFHALTESTOGD.2108,2108,POINT (16.424512677517736 48.22540272078752),Mendelssohngasse,Mendelssohng.,"92A, 92B",
OEFFHALTESTOGD.2109,2109,POINT (16.4014739551686 48.22594984481095),Walcherstraße,Walcherstr.,"11A, 11B",
OEFFHALTESTOGD.2110,2110,POINT (16.4202534075774 48.210670549084625),Stadion,Stadion,U2,
OEFFHALTESTOGD.2111,2111,POINT (16.440541992343583 48.22619136226385),Lange Allee,Lange Allee,93A,
OEFFHALTESTOGD.2112,2112,POINT (16.42321041223181 48.22636711025996),Schüttauplatz,Schüttaupl.,"92A, 92B",
OEFFHALTESTOGD.2113,2113,POINT (16.41812329371472 48.29323456343921),Van-Swieten-Kaserne,Van-Swieten-Kaserne,"30, 31",
OEFFHALTESTOGD.2114,2114,POINT (16.4269408459846 48.20965203824956),Ferry-Dusika-Stadion,Ferry-Dusika-Stadion,77A,
OEFFHALTESTOGD.2115,2115,POINT (16.41082800119297 48.28971452262973),Marchfeldkanal,Marchfeldkanal,30A,
OEFFHALTESTOGD.2116,2116,POINT (16.411426112036008 48.22926252676672),Donauinsel,Donauinsel,U1,
OEFFHALTESTOGD.2117,2117,POINT (16.415909793713 48.289339020374626),Anton-Schall-Gasse,Anton-Schall-G.,"30, 31",
OEFFHALTESTOGD.2118,2118,POINT (16.418874566453646 48.22955896013837),Goethehof,Goethehof,"92A, 92B",
OEFFHALTESTOGD.2119,2119,POINT (16.439663980319967 48.229802079419414),Benatzkygasse,Benatzkyg.,93A,
OEFFHALTESTOGD.2120,2120,POINT (16.416913843133386 48.23101612642912),Schüttaustraße,Schüttaustr.,"92A, 92B",
OEFFHALTESTOGD.2121,2121,POINT (16.416496720035433 48.23286198904245),Kaisermühlen-VIC,Kaisermühlen-VIC,U1,
OEFFHALTESTOGD.2122,2122,POINT (16.438721483869166 48.23358315260363),Steinbrechergasse,Steinbrecherg.,93A,
OEFFHALTESTOGD.2123,2123,POINT (16.4191085599317 48.20875723118624),Ernst-Happel-Stadion,Ernst-Happel-Stadion,77A,
OEFFHALTESTOGD.2124,2124,POINT (16.408250816370902 48.235299830559235),Donau-City Nord,Donau-City Nord,20B,
OEFFHALTESTOGD.2125,2125,POINT (16.430442375904153 48.286373788709845),"Gerasdorfer Straße, Ruthnergasse","Gerasdorfer Str., Ruthnerg.",32A,
OEFFHALTESTOGD.2126,2126,POINT (16.437576960249938 48.236275096394415),Arminenstraße,Arminenstr.,"25, 93A",
OEFFHALTESTOGD.2127,2127,POINT (16.42374515308313 48.23801343828428),Alte Donau,Alte Donau,20B,
