railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
1938,008731388,TGV Haute Picardie,TGV Haute Picardie,TGV Haute Picardie,http://live.dbpedia.org/resource/TGV_Haute_Picardie,2.83174,49.859188
1944,008774177,Landry,Landry,Landry,http://live.dbpedia.org/resource/Landry,6.733789,45.574143
1945,008774176,Aime-la-Plagne,Aime-la-Plagne,Aime-la-Plagne,http://live.dbpedia.org/resource/Aime-la-Plagne,6.648732,45.55432
1946,008774164,Albertville,Albertville,Albertville,http://live.dbpedia.org/resource/Albertville,6.383051,45.673048
1947,008774100,Chambéry-Challes-les-Eaux,Chambéry-Challes-les-Eaux,Chambéry-Challes-les-Eaux,http://live.dbpedia.org/resource/Chambéry-Challes-les-Eaux,5.919511,45.571297
1969,008032572,Limburg Süd,Limburg Süd,Limburg Süd,http://live.dbpedia.org/resource/Limburg_Süd,8.096113,50.382486
1,008015345,Aachen Hbf,Aachen Hbf,Aachen Hbf,http://live.dbpedia.org/resource/Aachen_Hbf,6.09159,50.767792
10,008892288,Aarsele,Aarsele,Aarsele,http://live.dbpedia.org/resource/Aarsele,3.41836,50.98446
100,008864352,Aye,Aye,Aye,http://live.dbpedia.org/resource/Aye,5.301096,50.224131
1003,008200940,Rodange,Rodange,Rodange,http://live.dbpedia.org/resource/Rodange,5.845028,49.551283
1005,008896800,Roeselare,Roeselare,Roeselare,http://live.dbpedia.org/resource/Roeselare,3.130415,50.949029
1009,008861119,Ronet,Ronet,Ronet,http://live.dbpedia.org/resource/Ronet,4.82842,50.45774
1013,008892908,Ronse,Ronse,Ronse,http://live.dbpedia.org/resource/Ronse,3.600621,50.74199
1017,008822848,Ruisbroek-Sauvegarde,Ruisbroek-Sauvegarde,Ruisbroek-Sauvegarde,http://live.dbpedia.org/resource/Ruisbroek-Sauvegarde,4.325443,51.081152
1018,008871217,Roux,Roux,Roux,http://live.dbpedia.org/resource/Roux,4.3932,50.44311
102,008822160,Baasrode-Zuid,Baasrode-Zuid,Baasrode-Zuid,http://live.dbpedia.org/resource/Baasrode-Zuid,4.153496,51.019436
1021,008814365,Ruisbroek,Ruisbroek,Ruisbroek,http://live.dbpedia.org/resource/Ruisbroek,4.294472,50.790582
1031,008861432,Saint-Denis-Bovesse,Saint-Denis-Bovesse,Saint-Denis-Bovesse,http://live.dbpedia.org/resource/Saint-Denis-Bovesse,4.76779,50.5213
1034,008884004,Saint-Ghislain,Saint-Ghislain,Saint-Ghislain,http://live.dbpedia.org/resource/Saint-Ghislain,3.819311,50.442698
104,008895125,Aalst-Kerrebroek,Aalst-Kerrebroek,Aalst-Kerrebroek,http://live.dbpedia.org/resource/Aalst-Kerrebroek,4.024407,50.948377
1043,008864956,Sart-Bernard,Sart-Bernard,Sart-Bernard,http://live.dbpedia.org/resource/Sart-Bernard,4.94974,50.406373
1048,008811007,Schaarbeek,Schaarbeek,Schaarbeek,http://live.dbpedia.org/resource/Schaarbeek,4.379451,50.878039
105,008895257,Balegem-Dorp,Balegem-Dorp,Balegem-Dorp,http://live.dbpedia.org/resource/Balegem-Dorp,3.791423,50.919608
1056,008893070,Scheldewindeke,Scheldewindeke,Scheldewindeke,http://live.dbpedia.org/resource/Scheldewindeke,3.777844,50.937072
1058,008893542,Schellebelle,Schellebelle,Schellebelle,http://live.dbpedia.org/resource/Schellebelle,3.92137,51.00315
1059,008895711,Schendelbeke,Schendelbeke,Schendelbeke,http://live.dbpedia.org/resource/Schendelbeke,3.899285,50.797849
106,008895240,Balegem-Zuid,Balegem-Zuid,Balegem-Zuid,http://live.dbpedia.org/resource/Balegem-Zuid,3.80587,50.900514
1060,008893526,Schoonaarde,Schoonaarde,Schoonaarde,http://live.dbpedia.org/resource/Schoonaarde,4.011095,51.003152
1061,008831088,Schulen,Schulen,Schulen,http://live.dbpedia.org/resource/Schulen,5.185731,50.963937
1062,008863446,Sclaigneaux,Sclaigneaux,Sclaigneaux,http://live.dbpedia.org/resource/Sclaigneaux,5.026359,50.492245
1063,008843133,Sclessin,Sclessin,Sclessin,http://live.dbpedia.org/resource/Sclessin,5.55522,50.611104
1066,008824232,Schelle,Schelle,Schelle,http://live.dbpedia.org/resource/Schelle,4.340261,51.125509
1068,008893583,Serskamp,Serskamp,Serskamp,http://live.dbpedia.org/resource/Serskamp,3.95936,50.9844
